folio_hash,estatus_pago,mes_ingreso_factura,tipo_suministro,region,tipo_dispositivo,coordinacion_administrativa,estado,municipio,fecha_instalacion,dias_pagar_junio,dias_pendientes,monto_reactivacion_mes_pausa,dias_mes,precio_unitario,precio_por_dia,dias_facturar,reactivacion_marzo,reactivacion_abril,reactivacion_mayo,reactivacion_junio,renta_junio_total,iva_16,total
F-EF143672BF,PAUSADO (MAYO 2026),ENERO_25,,1,Monitor 24 pulgadas,FECOR,CIUDAD DE MEXICO,ALVARO OBREGON,22/01/2024,,11,,30,$91.12,$3.04,0,-,-,-,,$-,$-,$-
F-B471A00580,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,SA_QROO,QUINTANA ROO,BENITO JUÁREZ,25/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-E0B401665C,DEVOLUCION (FRACCION DE SALIDA)_se reactiva PAUSADO (MAYO 2026),NOV_24,,1,Memoria RAM Escritorio (16 GB),FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,24/09/2024,,4,$6.26,30,$48.53,$1.62,-,-,-,$6.26,$27.50,$33.76,$5.40,$39.16
F-9C18456417,AUTORIZADO (PAGO REACTIVADO)_mayo,,BAJO DEMANDA,1,Computadora Portatil Estandar,SA_EDOMEX,MEXICO,TOLUCA,30/08/2023,,5,$107.26,30,$664.99,$22.17,0,-,-,$107.26,$664.99,$772.25,$123.56,$895.81
F-0E9C40F9F2,AUTORIZADO,ENERO_25,,1,Teclado y raton inalambricos,SA_CDMX,CIUDAD DE MEXICO,XOCHIMILCO,08/05/2024,,,,30,$29.68,$0.99,30,$-,$-,$-,$-,$29.68,$4.75,$34.43
F-B54B6CF2CE,PAUSADO (MAYO 2026),AGOSTO_25,BAJO DEMANDA,1,Computadora de Escritorio Estandar,FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,08/07/2025,,9,,30,$607.34,$20.24,0,-,-,-,,$-,$-,$-
F-5F3BCE0388,AUTORIZADO (PAGO REACTIVADO)_abril,,BAJO DEMANDA,1,Computadora de Escritorio Estandar,FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,03/08/2023,,2,$40.49,30,$607.34,$20.24,0,-,$40.49,$607.34,$607.34,"$1,255.17",$200.83,"$1,456.00"
F-6492A7B438,AUTORIZADO,ENERO_25,,1,Computadora de Escritorio Estandar,CFIC,CIUDAD DE MEXICO,COYOACAN,12/09/2024,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-7063DCCF43,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora Portatil Estandar,PFM,CIUDAD DE MEXICO,MIGUEL HIDALGO,26/04/2023,,,,30,$664.99,$22.17,30,$-,$-,$-,$-,$664.99,$106.40,$771.39
F-2213C40878,DEVOLUCION (FRACCION DE SALIDA),FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,DGSI,CIUDAD DE MEXICO,MIGUEL HIDALGO,30/03/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-AFBED9BD03,AUTORIZADO,ENERO_25,,1,Computadora Portatil Estandar,CDMX,CIUDAD DE MEXICO,CUAUHTEMOC,10/06/2024,,,,30,$664.99,$22.17,30,$-,$-,$-,$-,$664.99,$106.40,$771.39
F-592F3E149E,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,SA_JAL,JALISCO,GUADALAJARA,03/05/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-D710982982,AUTORIZADO,MARZO_25,,1,Computadora Portatil Estandar,INACIPE,CIUDAD DE MEXICO,TLALPAN,11/03/2025,,,,30,$664.99,$22.17,30,$-,$-,$-,$-,$664.99,$106.40,$771.39
F-B7604812E8,AUTORIZADO,FEB-MAY_23,FASE INICIAL,3,Computadora de Escritorio Estandar,SA_BC,BAJA CALIFORNIA,TIJUANA,26/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-1E7550D1F1,PAUSADO (MAYO 2026),OCT_24,,1,Computadora de Escritorio Estandar,FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,13/12/2023,,9,,30,$607.34,$20.24,0,-,-,-,,$-,$-,$-
F-7A45C8D7ED,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,FEMDO,CIUDAD DE MEXICO,CUAUHTEMOC,30/03/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-F7DF45227A,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,SA_QRO,QUERETARO,QUERÉTARO,14/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-2AA9E48C53,AUTORIZADO,SEP_COMP_24,BAJO DEMANDA,1,Teclado y raton inalambricos,SA_TLAX,TLAXCALA,TLAXCALA,15/12/2023,,,,30,$29.68,$0.99,30,$-,$-,$-,$-,$29.68,$4.75,$34.43
F-881959EC86,PAUSADO (JUNIO 2026),FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,FECOR,CIUDAD DE MEXICO,CUAUHTÉMOC,22/03/2023,1,29,,30,$607.34,$20.24,1,$-,$-,$-,$-,$20.24,$3.24,$23.48
F-E8CCB2652C,AUTORIZADO,ABRIL_25,BAJO DEMANDA,1,Teclado y raton inalambricos,CFPF,CIUDAD DE MEXICO,CUAUHTEMOC,24/02/2025,,,,30,$29.68,$0.99,30,$-,$-,$-,$-,$29.68,$4.75,$34.43
F-1BC5BBB196,AUTORIZADO,SEP_COMP_24,BAJO DEMANDA,2,Teclado y raton inalambricos,SA_SON,SONORA,CABORCA,12/02/2024,,,,30,$29.68,$0.99,30,$-,$-,$-,$-,$29.68,$4.75,$34.43
F-F941BBFAA6,PAUSADO (JUNIO 2026),FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,SA_SON,SONORA,HERMOSILLO,02/05/2023,20,10,,30,$607.34,$20.24,20,$-,$-,$-,$-,$404.89,$64.78,$469.68
F-CA3EBD4814,AUTORIZADO,SEP_COMP_24,BAJO DEMANDA,1,Monitor 24 pulgadas,SA_COAH,COAHUILA,TORREON,14/12/2023,,,,30,$91.12,$3.04,30,$-,$-,$-,$-,$91.12,$14.58,$105.70
F-E2CB034ABC,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,CAOM,CIUDAD DE MEXICO,CUAUHTEMOC,21/03/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-F9116F89EA,AUTORIZADO,ENERO_25,,1,Teclado y raton inalambricos,CFPF,CIUDAD DE MEXICO,CUAUHTEMOC,30/12/2024,,,,30,$29.68,$0.99,30,$-,$-,$-,$-,$29.68,$4.75,$34.43
F-4B5A98B51B,PAUSADO (JUNIO 2026),FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,17/03/2023,15,15,,30,$607.34,$20.24,15,$-,$-,$-,$-,$303.67,$48.59,$352.26
F-B964280B7F,AUTORIZADO,,"""776""_INICIAL",1,Computadora de Escritorio Estandar,SA_PUE,PUEBLA,PUEBLA,04/07/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-3CA6B7DD7D,PAUSADO (JUNIO 2026),FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,SA_SON,SONORA,HERMOSILLO,12/05/2023,20,10,,30,$607.34,$20.24,20,$-,$-,$-,$-,$404.89,$64.78,$469.68
F-C92739CEEF,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,SA_EDOMEX,ESTADO DE MEXICO,TOLUCA,05/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-2766A26D5D,AUTORIZADO,FEB-MAY_23,FASE INICIAL,3,Computadora de Escritorio Estandar,SA_BC,BAJA CALIFORNIA,TIJUANA,21/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-33F7969061,AUTORIZADO,NOV_24,,1,Monitor 24 pulgadas,UEITICS,CIUDAD DE MEXICO,CUAUHTEMOC,25/07/2024,,,,30,$91.12,$3.04,30,$-,$-,$-,$-,$91.12,$14.58,$105.70
F-AA8DBCFF6A,AUTORIZADO,ENERO_25,,1,Computadora de Escritorio Estandar,FEMDO,CIUDAD DE MEXICO,CUAUHTEMOC,09/10/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-CBBDFC483B,PAUSADO (MAYO 2026),FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,24/03/2023,,9,,30,$607.34,$20.24,0,-,-,-,,$-,$-,$-
F-3BC3239187,AUTORIZADO,SEP_COMP_24,BAJO DEMANDA,2,Monitor 24 pulgadas,SA_CHIS,CHIAPAS,TAPACHULA,16/04/2024,,,,30,$91.12,$3.04,30,$-,$-,$-,$-,$91.12,$14.58,$105.70
F-71EC4F0D42,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,FEAI,CIUDAD DE MEXICO,ÁLVARO OBREGÓN,21/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-E14209C67F,PAUSADO (ABRIL 2026),,"""776""_INICIAL",1,Computadora de Escritorio Estandar,FECOR,CIUDAD DE MEXICO,CUAUHTEMOC,23/06/2023,,2,,31,$607.34,$19.59,0,-,-,-,,$-,$-,$-
F-18272E954A,AUTORIZADO,ABRIL_25,BAJO DEMANDA,1,Computadora Portatil Estandar,INACIPE,CIUDAD DE MEXICO,TLALPAN,31/03/2025,,,,30,$664.99,$22.17,30,$-,$-,$-,$-,$664.99,$106.40,$771.39
F-BF847700F2,PAUSADO (MAYO 2026),NOV_24,,1,Teclado y raton inalambricos,FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,07/08/2024,,9,,30,$29.68,$0.99,0,-,-,-,,$-,$-,$-
F-9708769A28,AUTORIZADO,JUNIO_25,BAJO DEMANDA,1,Computadora de Escritorio Estandar,PFM,CIUDAD DE MEXICO,CUAUHTEMOC,09/04/2025,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-00BD313238,PAUSADO (MAYO 2026),SEP_COMP_24,BAJO DEMANDA,1,Computadora Portatil Estandar,FECOR,CIUDAD DE MEXICO,CUAUHTEMOC,29/09/2023,,11,,30,$664.99,$22.17,0,-,-,-,,$-,$-,$-
F-83C9CD8442,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,FEAI,CIUDAD DE MEXICO,ALVARO OBREGON,21/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-C5EBD5530F,DEVOLUCION (FRACCION DE SALIDA),SEP_COMP_24,BAJO DEMANDA,1,Monitor 24 pulgadas,CA_FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,13/03/2024,,,,30,$91.12,$3.04,4,$-,$-,$-,$-,$12.15,$1.94,$14.09
F-C6935E989A,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,COPLADII,CIUDAD DE MEXICO,CUAUHTEMOC,24/03/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-FAA2D3EDB4,AUTORIZADO,SEP_COMP_24,BAJO DEMANDA,1,Computadora Portatil Estandar,CDMX,CIUDAD DE MEXICO,MIGUEL HIDALGO,26/02/2024,,,,30,$664.99,$22.17,30,$-,$-,$-,$-,$664.99,$106.40,$771.39
F-DB5BD57919,AUTORIZADO,SEP_COMP_24,BAJO DEMANDA,1,Teclado y raton inalambricos,FEAIN,CIUDAD DE MEXICO,ALVARO OBREGON,09/05/2024,,,,30,$29.68,$0.99,30,$-,$-,$-,$-,$29.68,$4.75,$34.43
F-3FA1C30DE5,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,CFSPC,CIUDAD DE MEXICO,CUAUHTÉMOC,13/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-DF6F5731F7,DEVOLUCION (FRACCION DE SALIDA),FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,FEMDH,CIUDAD DE MEXICO,CUAUHTÉMOC,24/03/2023,,,,30,$607.34,$20.24,17,$-,$-,$-,$-,$344.16,$55.07,$399.22
F-B2095329D8,AUTORIZADO,,BAJO DEMANDA,1,Computadora Portatil Estandar,SA_QRO,QUERETARO,QUERETARO,04/09/2023,,,,30,$664.99,$22.17,30,$-,$-,$-,$-,$664.99,$106.40,$771.39
F-BEFDE67FD9,AUTORIZADO (PAGO REACTIVADO)_mayo,SEP_COMP_24,BAJO DEMANDA,1,Teclado y raton inalambricos,SA_EDOMEX,MEXICO,TOLUCA,13/02/2024,,5,$4.79,30,$29.68,$0.99,0,-,-,$4.79,$29.68,$34.47,$5.51,$39.98
F-6F414622C5,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,SA_QROO,QUINTANA ROO,BENITO JUÁREZ,21/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-DB91360763,AUTORIZADO,FEB-MAY_23,FASE INICIAL,2,Computadora de Escritorio Estandar,SA_BC,BAJA CALIFORNIA,ENSENADA,28/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-510B3ED7E9,AUTORIZADO,FEB-MAY_23,FASE INICIAL,2,Computadora Portatil Estandar,SA_CHIS,CHIAPAS,TAPACHULA,02/05/2023,,,,30,$664.99,$22.17,30,$-,$-,$-,$-,$664.99,$106.40,$771.39
F-C03C2E0E5D,PAUSADO (MAYO 2026),JUNIO_25,BAJO DEMANDA,1,Computadora Portatil Estandar,INACIPE,CIUDAD DE MEXICO,TLALPAN,02/05/2025,,12,,30,$664.99,$22.17,0,-,-,-,,$-,$-,$-
F-22D2B24922,PAUSADO (MAYO 2026),JULIO_25,BAJO DEMANDA,1,Computadora de Escritorio Estandar,FECOC,CIUDAD DE MEXICO,ALVARO OBREGON,27/12/2024,,10,,30,$607.34,$20.24,0,-,-,-,,$-,$-,$-
F-4C8E94CC9B,AUTORIZADO,ABRIL_25,BAJO DEMANDA,1,Computadora Portatil Estandar,INACIPE,CIUDAD DE MEXICO,TLALPAN,02/04/2025,,,,30,$664.99,$22.17,30,$-,$-,$-,$-,$664.99,$106.40,$771.39
F-FC582148BB,PAUSADO (JUNIO 2026),FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,DGCRAM,CIUDAD DE MEXICO,MIGUEL HIDALGO,09/03/2023,30,0,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-286D148DCE,PAUSADO (JUNIO 2026),ENERO_2026,BAJO DEMANDA,1,Computadora Portatil Estandar,FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,11/12/2025,15,15,,30,$664.99,$22.17,15,$-,$-,$-,$-,$332.50,$53.20,$385.69
F-EE335ED70E,AUTORIZADO,FEB-MAY_23,FASE INICIAL,2,Computadora de Escritorio Estandar,SA_BC,BAJA CALIFORNIA,ENSENADA,25/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-7576A56F4B,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,SJAI,CIUDAD DE MEXICO,CUAUHTEMOC,24/03/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-5916F9275F,AUTORIZADO,ENERO_25,,1,Computadora de Escritorio Estandar,CFIC,CIUDAD DE MEXICO,COYOACAN,12/09/2024,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-374B35405F,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,SA_EDOMEX,ESTADO DE MEXICO,TOLUCA,03/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-C837162BD8,AUTORIZADO,SEP_COMP_24,BAJO DEMANDA,1,Teclado y raton inalambricos,SA_PUE,PUEBLA,PUEBLA,08/12/2023,,,,30,$29.68,$0.99,30,$-,$-,$-,$-,$29.68,$4.75,$34.43
F-9F90239EAB,PAUSADO (JUNIO 2026),SEP_COMP_24,BAJO DEMANDA,1,Monitor 24 pulgadas,SA_SON,SONORA,HERMOSILLO,05/01/2024,20,10,,30,$91.12,$3.04,20,$-,$-,$-,$-,$60.75,$9.72,$70.47
F-93D6DCB167,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,SA_QRO,QUERETARO,QUERÉTARO,05/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-FF543EC5C5,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora Portatil Estandar,FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,31/03/2023,,,,30,$664.99,$22.17,30,$-,$-,$-,$-,$664.99,$106.40,$771.39
F-769EDA0627,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,UDET,CIUDAD DE MEXICO,CUAUHTÉMOC,14/03/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-3DC9FF254B,AUTORIZADO,SEP_COMP_24,BAJO DEMANDA,1,Monitor 24 pulgadas,SA_TAB,TABASCO,CENTRO,12/03/2024,,,,30,$91.12,$3.04,30,$-,$-,$-,$-,$91.12,$14.58,$105.70
F-34924C0617,AUTORIZADO,SEP_COMP_24,BAJO DEMANDA,1,Monitor 24 pulgadas,SA_EDOMEX,MEXICO,TLALNEPANTLA DE BAZ,18/01/2024,,,,30,$91.12,$3.04,30,$-,$-,$-,$-,$91.12,$14.58,$105.70
F-0643B7F991,PAUSADO (JUNIO 2026),,BAJO DEMANDA,1,Computadora Portatil Estandar,FECOR,CIUDAD DE MEXICO,CUAUHTEMOC,18/08/2023,19,11,,30,$664.99,$22.17,19,$-,$-,$-,$-,$421.16,$67.39,$488.55
F-A9628ABC7A,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,SA_COL,COLIMA,COLIMA,04/05/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-61C72CA08F,PAUSADO (JUNIO 2026),FEB-MAY_23,FASE INICIAL,1,Computadora Portatil Estandar,FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,31/03/2023,15,15,,30,$664.99,$22.17,15,$-,$-,$-,$-,$332.50,$53.20,$385.69
F-197661E331,DEVOLUCION (FRACCION DE SALIDA),FEBRERO_2026,BAJO DEMANDA,1,Computadora Portatil Estandar,URAMYDF,CIUDAD DE MEXICO,MIGUEL HIDALGO,16/02/2026,,,,30,$664.99,$22.17,11,$-,$-,$-,$-,$243.83,$39.01,$282.84
F-620246A71D,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,SA_CDMX,CIUDAD DE MEXICO,CUAUHTÉMOC,15/03/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-322054011F,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,SA_SLP,SAN LUIS POTOSI,SAN LUIS POTOSI,05/05/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-208778483D,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,CGSP,MORELOS,CUERNAVACA,21/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-D5E462FF09,AUTORIZADO,SEP_COMP_24,BAJO DEMANDA,1,Monitor 24 pulgadas,SA_HGO,HIDALGO,PACHUCA DE SOTO,12/12/2023,,,,30,$91.12,$3.04,30,$-,$-,$-,$-,$91.12,$14.58,$105.70
F-266AC37D65,AUTORIZADO,FEBRERO_25,,1,Monitor 24 pulgadas,SA_JAL,JALISCO,GUADALAJARA,24/12/2024,,,,30,$91.12,$3.04,30,$-,$-,$-,$-,$91.12,$14.58,$105.70
F-4027A3F389,PAUSADO (JUNIO 2026),FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,DGRMSG,CIUDAD DE MEXICO,GUSTAVO A. MADERO,24/02/2023,26,4,,30,$607.34,$20.24,26,$-,$-,$-,$-,$526.36,$84.22,$610.58
F-1BF3A42D74,PAUSADO (JUNIO 2026),FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,FECOR,CIUDAD DE MEXICO,CUAUHTÉMOC,21/03/2023,23,7,,30,$607.34,$20.24,23,$-,$-,$-,$-,$465.63,$74.50,$540.13
F-C0E5ED9F29,PAUSADO (JUNIO 2026),FEBRERO_25,,1,Monitor 24 pulgadas,CFPF,CIUDAD DE MEXICO,CUAUHTEMOC,10/01/2025,23,7,,30,$91.12,$3.04,23,$-,$-,$-,$-,$69.86,$11.18,$81.04
F-5B6467683C,PAUSADO (MAYO 2026),FEB-MAY_23,FASE INICIAL,1,Computadora Portatil Estandar,FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,29/03/2023,,8,,30,$664.99,$22.17,0,-,-,-,,$-,$-,$-
F-B431509618,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora Portatil Estandar,SA_VER,VERACRUZ,VERACRUZ,18/05/2023,,,,30,$664.99,$22.17,30,$-,$-,$-,$-,$664.99,$106.40,$771.39
F-C5F082D929,PAUSADO (MAYO 2026),,"""776""_INICIAL",1,Computadora de Escritorio Estandar,FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,24/03/2023,,9,,30,$607.34,$20.24,0,-,-,-,,$-,$-,$-
F-FEC4FC2620,AUTORIZADO,SEP_COMP_24,BAJO DEMANDA,1,Teclado y raton inalambricos,SA_TLAX,TLAXCALA,TLAXCALA,15/12/2023,,,,30,$29.68,$0.99,30,$-,$-,$-,$-,$29.68,$4.75,$34.43
F-E9B02A34E4,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora Portatil Estandar,CGSP,MORELOS,CUERNAVACA,21/04/2023,,,,30,$664.99,$22.17,30,$-,$-,$-,$-,$664.99,$106.40,$771.39
F-D0E1AC4FDE,DEVOLUCION (FRACCION DE SALIDA),FEB-MAY_23,FASE INICIAL,2,Computadora de Escritorio Estandar,SA_GRO,GUERRERO,ACAPULCO DE JUAREZ,08/05/2023,,,,30,$607.34,$20.24,26,$-,$-,$-,$-,$526.36,$84.22,$610.58
F-B76802E775,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,FECOR,CIUDAD DE MEXICO,CUAUHTÉMOC,03/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
